Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,"Aantal leerlingenkenmerken waaraan leerlingen van gewoon lager onderwijs voldoen, gesommeerd over alle leerlingen, naar woonplaats","Aantal leerlingen van gewoon lager onderwijs, naar woonplaats",OKI
Beerse,13004,Nee,Onderwijskansarmoede-indicator (OKI),2019,451,1135,0.397357
Beerse,13004,Nee,Onderwijskansarmoede-indicator (OKI),2020,622,1134,0.548501
Beerse,13004,Nee,Onderwijskansarmoede-indicator (OKI),2021,730,1158,0.630397
Dessel,13006,Nee,Onderwijskansarmoede-indicator (OKI),2009,279,539,0.517625
Dessel,13006,Nee,Onderwijskansarmoede-indicator (OKI),2010,289,533,0.542214
Dessel,13006,Nee,Onderwijskansarmoede-indicator (OKI),2011,305,560,0.544643
Dessel,13006,Nee,Onderwijskansarmoede-indicator (OKI),2012,296,573,0.516579
Dessel,13006,Nee,Onderwijskansarmoede-indicator (OKI),2013,263,560,0.469643
Dessel,13006,Nee,Onderwijskansarmoede-indicator (OKI),2014,257,574,0.447735
Dessel,13006,Nee,Onderwijskansarmoede-indicator (OKI),2015,224,595,0.376471
Dessel,13006,Nee,Onderwijskansarmoede-indicator (OKI),2016,231,623,0.370787
Dessel,13006,Nee,Onderwijskansarmoede-indicator (OKI),2017,232,624,0.371795
Dessel,13006,Nee,Onderwijskansarmoede-indicator (OKI),2018,229,641,0.357254
Dessel,13006,Nee,Onderwijskansarmoede-indicator (OKI),2019,224,655,0.341985
Dessel,13006,Nee,Onderwijskansarmoede-indicator (OKI),2020,317,637,0.497645
Dessel,13006,Nee,Onderwijskansarmoede-indicator (OKI),2021,320,612,0.522876
Geel,13008,Nee,Onderwijskansarmoede-indicator (OKI),2009,1163,2005,0.58005
Geel,13008,Nee,Onderwijskansarmoede-indicator (OKI),2010,832,2015,0.412903
Geel,13008,Nee,Onderwijskansarmoede-indicator (OKI),2011,878,2030,0.432512
Geel,13008,Nee,Onderwijskansarmoede-indicator (OKI),2012,942,2073,0.454414
Geel,13008,Nee,Onderwijskansarmoede-indicator (OKI),2013,897,2124,0.422316
Geel,13008,Nee,Onderwijskansarmoede-indicator (OKI),2014,994,2192,0.453467
Geel,13008,Nee,Onderwijskansarmoede-indicator (OKI),2015,1041,2273,0.457985
Geel,13008,Nee,Onderwijskansarmoede-indicator (OKI),2016,1115,2341,0.476292
Geel,13008,Nee,Onderwijskansarmoede-indicator (OKI),2017,1161,2433,0.477189
Geel,13008,Nee,Onderwijskansarmoede-indicator (OKI),2018,1116,2473,0.451274
Geel,13008,Nee,Onderwijskansarmoede-indicator (OKI),2019,1263,2514,0.502387
Geel,13008,Nee,Onderwijskansarmoede-indicator (OKI),2020,1556,2517,0.618196
Geel,13008,Nee,Onderwijskansarmoede-indicator (OKI),2021,1579,2519,0.626836
Grobbendonk,13010,Nee,Onderwijskansarmoede-indicator (OKI),2009,282,741,0.380567
Grobbendonk,13010,Nee,Onderwijskansarmoede-indicator (OKI),2010,253,703,0.359886
Grobbendonk,13010,Nee,Onderwijskansarmoede-indicator (OKI),2011,211,646,0.326625
Grobbendonk,13010,Nee,Onderwijskansarmoede-indicator (OKI),2012,216,650,0.332308
Grobbendonk,13010,Nee,Onderwijskansarmoede-indicator (OKI),2013,201,628,0.320064
Grobbendonk,13010,Nee,Onderwijskansarmoede-indicator (OKI),2014,215,614,0.350163
Grobbendonk,13010,Nee,Onderwijskansarmoede-indicator (OKI),2015,214,599,0.357262
Grobbendonk,13010,Nee,Onderwijskansarmoede-indicator (OKI),2016,217,600,0.361667
Grobbendonk,13010,Nee,Onderwijskansarmoede-indicator (OKI),2017,222,609,0.364532
Grobbendonk,13010,Nee,Onderwijskansarmoede-indicator (OKI),2018,208,573,0.363002
Grobbendonk,13010,Nee,Onderwijskansarmoede-indicator (OKI),2019,206,586,0.351536
Grobbendonk,13010,Nee,Onderwijskansarmoede-indicator (OKI),2020,458,604,0.758278
Grobbendonk,13010,Nee,Onderwijskansarmoede-indicator (OKI),2021,342,606,0.564356
Herentals,13011,Nee,Onderwijskansarmoede-indicator (OKI),2009,916,1419,0.645525
Herentals,13011,Nee,Onderwijskansarmoede-indicator (OKI),2010,912,1385,0.658484
Herentals,13011,Nee,Onderwijskansarmoede-indicator (OKI),2011,798,1394,0.572453
Herentals,13011,Nee,Onderwijskansarmoede-indicator (OKI),2012,941,1391,0.676492
Herentals,13011,Nee,Onderwijskansarmoede-indicator (OKI),2013,802,1372,0.584548
Herentals,13011,Nee,Onderwijskansarmoede-indicator (OKI),2014,853,1417,0.601976
Herentals,13011,Nee,Onderwijskansarmoede-indicator (OKI),2015,821,1451,0.565817
Herentals,13011,Nee,Onderwijskansarmoede-indicator (OKI),2016,996,1498,0.664887
Herentals,13011,Nee,Onderwijskansarmoede-indicator (OKI),2017,975,1536,0.634766
Herentals,13011,Nee,Onderwijskansarmoede-indicator (OKI),2018,1100,1578,0.697085
Herentals,13011,Nee,Onderwijskansarmoede-indicator (OKI),2019,1036,1614,0.641884
Herentals,13011,Nee,Onderwijskansarmoede-indicator (OKI),2020,1356,1621,0.836521
Herentals,13011,Nee,Onderwijskansarmoede-indicator (OKI),2021,1449,1598,0.906758
Herenthout,13012,Nee,Onderwijskansarmoede-indicator (OKI),2009,200,492,0.406504
Herenthout,13012,Nee,Onderwijskansarmoede-indicator (OKI),2010,183,494,0.370445
Herenthout,13012,Nee,Onderwijskansarmoede-indicator (OKI),2011,167,463,0.360691
Herenthout,13012,Nee,Onderwijskansarmoede-indicator (OKI),2012,186,470,0.395745
Herenthout,13012,Nee,Onderwijskansarmoede-indicator (OKI),2013,218,499,0.436874
Herenthout,13012,Nee,Onderwijskansarmoede-indicator (OKI),2014,217,517,0.419729
Herenthout,13012,Nee,Onderwijskansarmoede-indicator (OKI),2015,209,525,0.398095
Herenthout,13012,Nee,Onderwijskansarmoede-indicator (OKI),2016,238,533,0.446529
Herenthout,13012,Nee,Onderwijskansarmoede-indicator (OKI),2017,219,542,0.404059
Herenthout,13012,Nee,Onderwijskansarmoede-indicator (OKI),2018,228,546,0.417582
Herenthout,13012,Nee,Onderwijskansarmoede-indicator (OKI),2019,235,534,0.440075
Herenthout,13012,Nee,Onderwijskansarmoede-indicator (OKI),2020,310,522,0.59387
Herenthout,13012,Nee,Onderwijskansarmoede-indicator (OKI),2021,304,510,0.596078
Herselt,13013,Nee,Onderwijskansarmoede-indicator (OKI),2009,326,756,0.431217
Herselt,13013,Nee,Onderwijskansarmoede-indicator (OKI),2010,305,769,0.396619
Herselt,13013,Nee,Onderwijskansarmoede-indicator (OKI),2011,284,751,0.378162
Herselt,13013,Nee,Onderwijskansarmoede-indicator (OKI),2012,289,755,0.382781
Herselt,13013,Nee,Onderwijskansarmoede-indicator (OKI),2013,287,750,0.382667
Herselt,13013,Nee,Onderwijskansarmoede-indicator (OKI),2014,238,791,0.300885
Herselt,13013,Nee,Onderwijskansarmoede-indicator (OKI),2015,253,854,0.296253
Herselt,13013,Nee,Onderwijskansarmoede-indicator (OKI),2016,253,852,0.296948
Herselt,13013,Nee,Onderwijskansarmoede-indicator (OKI),2017,260,895,0.290503
Herselt,13013,Nee,Onderwijskansarmoede-indicator (OKI),2018,282,891,0.316498
Herselt,13013,Nee,Onderwijskansarmoede-indicator (OKI),2019,355,918,0.38671
Herselt,13013,Nee,Onderwijskansarmoede-indicator (OKI),2020,409,921,0.444083
Herselt,13013,Nee,Onderwijskansarmoede-indicator (OKI),2021,415,890,0.466292
Hoogstraten,13014,Nee,Onderwijskansarmoede-indicator (OKI),2009,586,1302,0.450077
Hoogstraten,13014,Nee,Onderwijskansarmoede-indicator (OKI),2010,532,1286,0.413686
Hoogstraten,13014,Nee,Onderwijskansarmoede-indicator (OKI),2011,418,1260,0.331746
Hoogstraten,13014,Nee,Onderwijskansarmoede-indicator (OKI),2012,450,1237,0.363783
Hoogstraten,13014,Nee,Onderwijskansarmoede-indicator (OKI),2013,457,1194,0.382747
Hoogstraten,13014,Nee,Onderwijskansarmoede-indicator (OKI),2014,462,1233,0.374696
Hoogstraten,13014,Nee,Onderwijskansarmoede-indicator (OKI),2015,635,1298,0.489214
Hoogstraten,13014,Nee,Onderwijskansarmoede-indicator (OKI),2016,706,1317,0.536067
Hoogstraten,13014,Nee,Onderwijskansarmoede-indicator (OKI),2017,654,1320,0.495455
Hoogstraten,13014,Nee,Onderwijskansarmoede-indicator (OKI),2018,616,1342,0.459016
Hoogstraten,13014,Nee,Onderwijskansarmoede-indicator (OKI),2019,793,1351,0.586973
Hoogstraten,13014,Nee,Onderwijskansarmoede-indicator (OKI),2020,833,1350,0.617037
Hoogstraten,13014,Nee,Onderwijskansarmoede-indicator (OKI),2021,802,1329,0.603461
Hulshout,13016,Nee,Onderwijskansarmoede-indicator (OKI),2009,215,576,0.373264
Hulshout,13016,Nee,Onderwijskansarmoede-indicator (OKI),2010,185,554,0.333935
Hulshout,13016,Nee,Onderwijskansarmoede-indicator (OKI),2011,187,536,0.348881
Hulshout,13016,Nee,Onderwijskansarmoede-indicator (OKI),2012,182,559,0.325581
Hulshout,13016,Nee,Onderwijskansarmoede-indicator (OKI),2013,198,594,0.333333
Hulshout,13016,Nee,Onderwijskansarmoede-indicator (OKI),2014,202,572,0.353147
Hulshout,13016,Nee,Onderwijskansarmoede-indicator (OKI),2015,203,574,0.353659
Hulshout,13016,Nee,Onderwijskansarmoede-indicator (OKI),2016,192,602,0.318937
Hulshout,13016,Nee,Onderwijskansarmoede-indicator (OKI),2017,192,627,0.30622
Hulshout,13016,Nee,Onderwijskansarmoede-indicator (OKI),2018,191,629,0.303657
Hulshout,13016,Nee,Onderwijskansarmoede-indicator (OKI),2019,175,611,0.286416
Hulshout,13016,Nee,Onderwijskansarmoede-indicator (OKI),2020,286,628,0.455414
Hulshout,13016,Nee,Onderwijskansarmoede-indicator (OKI),2021,312,640,0.4875
Kasterlee,13017,Nee,Onderwijskansarmoede-indicator (OKI),2009,402,1130,0.355752
Kasterlee,13017,Nee,Onderwijskansarmoede-indicator (OKI),2010,379,1086,0.348987
Kasterlee,13017,Nee,Onderwijskansarmoede-indicator (OKI),2011,360,1069,0.336763
Kasterlee,13017,Nee,Onderwijskansarmoede-indicator (OKI),2012,303,1061,0.28558
Kasterlee,13017,Nee,Onderwijskansarmoede-indicator (OKI),2013,282,1027,0.274586
Kasterlee,13017,Nee,Onderwijskansarmoede-indicator (OKI),2014,325,1055,0.308057
Kasterlee,13017,Nee,Onderwijskansarmoede-indicator (OKI),2015,339,1090,0.311009
Kasterlee,13017,Nee,Onderwijskansarmoede-indicator (OKI),2016,364,1096,0.332117
Kasterlee,13017,Nee,Onderwijskansarmoede-indicator (OKI),2017,352,1088,0.323529
Kasterlee,13017,Nee,Onderwijskansarmoede-indicator (OKI),2018,384,1097,0.350046
Kasterlee,13017,Nee,Onderwijskansarmoede-indicator (OKI),2019,413,1098,0.376138
Kasterlee,13017,Nee,Onderwijskansarmoede-indicator (OKI),2020,548,1097,0.499544
Kasterlee,13017,Nee,Onderwijskansarmoede-indicator (OKI),2021,552,1123,0.491541
Lille,13019,Nee,Onderwijskansarmoede-indicator (OKI),2009,367,1017,0.360865
Lille,13019,Nee,Onderwijskansarmoede-indicator (OKI),2010,322,1045,0.308134
Lille,13019,Nee,Onderwijskansarmoede-indicator (OKI),2011,295,985,0.299492
Lille,13019,Nee,Onderwijskansarmoede-indicator (OKI),2012,277,964,0.287344
Lille,13019,Nee,Onderwijskansarmoede-indicator (OKI),2013,285,956,0.298117
Lille,13019,Nee,Onderwijskansarmoede-indicator (OKI),2014,289,990,0.291919
Lille,13019,Nee,Onderwijskansarmoede-indicator (OKI),2015,287,1002,0.286427
Lille,13019,Nee,Onderwijskansarmoede-indicator (OKI),2016,332,1013,0.327739
Lille,13019,Nee,Onderwijskansarmoede-indicator (OKI),2017,306,1038,0.294798
Lille,13019,Nee,Onderwijskansarmoede-indicator (OKI),2018,329,1074,0.306331
Lille,13019,Nee,Onderwijskansarmoede-indicator (OKI),2019,356,1054,0.337761
Lille,13019,Nee,Onderwijskansarmoede-indicator (OKI),2020,432,1034,0.417795
Lille,13019,Nee,Onderwijskansarmoede-indicator (OKI),2021,477,1037,0.459981
Meerhout,13021,Nee,Onderwijskansarmoede-indicator (OKI),2009,255,490,0.520408
Meerhout,13021,Nee,Onderwijskansarmoede-indicator (OKI),2010,183,493,0.371197
Meerhout,13021,Nee,Onderwijskansarmoede-indicator (OKI),2011,165,492,0.335366
Meerhout,13021,Nee,Onderwijskansarmoede-indicator (OKI),2012,171,503,0.33996
Meerhout,13021,Nee,Onderwijskansarmoede-indicator (OKI),2013,162,542,0.298893
Meerhout,13021,Nee,Onderwijskansarmoede-indicator (OKI),2014,169,549,0.307832
Meerhout,13021,Nee,Onderwijskansarmoede-indicator (OKI),2015,205,596,0.34396
Meerhout,13021,Nee,Onderwijskansarmoede-indicator (OKI),2016,228,625,0.3648
Meerhout,13021,Nee,Onderwijskansarmoede-indicator (OKI),2017,264,673,0.392273
Meerhout,13021,Nee,Onderwijskansarmoede-indicator (OKI),2018,269,689,0.390421
Meerhout,13021,Nee,Onderwijskansarmoede-indicator (OKI),2019,265,681,0.389134
Meerhout,13021,Nee,Onderwijskansarmoede-indicator (OKI),2020,380,686,0.553936
Meerhout,13021,Nee,Onderwijskansarmoede-indicator (OKI),2021,359,650,0.552308
Merksplas,13023,Nee,Onderwijskansarmoede-indicator (OKI),2009,176,541,0.325323
Merksplas,13023,Nee,Onderwijskansarmoede-indicator (OKI),2010,178,544,0.327206
Merksplas,13023,Nee,Onderwijskansarmoede-indicator (OKI),2011,164,538,0.304833
Merksplas,13023,Nee,Onderwijskansarmoede-indicator (OKI),2012,159,526,0.302281
Merksplas,13023,Nee,Onderwijskansarmoede-indicator (OKI),2013,164,539,0.304267
Merksplas,13023,Nee,Onderwijskansarmoede-indicator (OKI),2014,174,567,0.306878
Merksplas,13023,Nee,Onderwijskansarmoede-indicator (OKI),2015,156,576,0.270833
Merksplas,13023,Nee,Onderwijskansarmoede-indicator (OKI),2016,179,577,0.310225
Merksplas,13023,Nee,Onderwijskansarmoede-indicator (OKI),2017,163,570,0.285965
Merksplas,13023,Nee,Onderwijskansarmoede-indicator (OKI),2018,177,567,0.312169
Merksplas,13023,Nee,Onderwijskansarmoede-indicator (OKI),2019,160,536,0.298507
Merksplas,13023,Nee,Onderwijskansarmoede-indicator (OKI),2020,253,532,0.475564
Merksplas,13023,Nee,Onderwijskansarmoede-indicator (OKI),2021,254,541,0.469501
Mol,13025,Nee,Onderwijskansarmoede-indicator (OKI),2009,1241,1895,0.654881
Mol,13025,Nee,Onderwijskansarmoede-indicator (OKI),2010,1329,1895,0.701319
Mol,13025,Nee,Onderwijskansarmoede-indicator (OKI),2011,1210,1918,0.630865
Mol,13025,Nee,Onderwijskansarmoede-indicator (OKI),2012,1298,1942,0.668383
Mol,13025,Nee,Onderwijskansarmoede-indicator (OKI),2013,1241,1957,0.634134
Mol,13025,Nee,Onderwijskansarmoede-indicator (OKI),2014,1272,1949,0.652642
Mol,13025,Nee,Onderwijskansarmoede-indicator (OKI),2015,1277,1985,0.643325
Mol,13025,Nee,Onderwijskansarmoede-indicator (OKI),2016,1403,2046,0.685728
Mol,13025,Nee,Onderwijskansarmoede-indicator (OKI),2017,1344,2132,0.630394
Mol,13025,Nee,Onderwijskansarmoede-indicator (OKI),2018,1587,2209,0.718425
Mol,13025,Nee,Onderwijskansarmoede-indicator (OKI),2019,1700,2236,0.760286
Mol,13025,Nee,Onderwijskansarmoede-indicator (OKI),2020,1980,2248,0.880783
Mol,13025,Nee,Onderwijskansarmoede-indicator (OKI),2021,2006,2263,0.886434
Olen,13029,Nee,Onderwijskansarmoede-indicator (OKI),2009,376,719,0.522949
Olen,13029,Nee,Onderwijskansarmoede-indicator (OKI),2010,369,713,0.517532
Olen,13029,Nee,Onderwijskansarmoede-indicator (OKI),2011,345,709,0.486601
Olen,13029,Nee,Onderwijskansarmoede-indicator (OKI),2012,305,703,0.433855
Olen,13029,Nee,Onderwijskansarmoede-indicator (OKI),2013,314,699,0.449213
Olen,13029,Nee,Onderwijskansarmoede-indicator (OKI),2014,272,737,0.369064
Olen,13029,Nee,Onderwijskansarmoede-indicator (OKI),2015,281,775,0.362581
Olen,13029,Nee,Onderwijskansarmoede-indicator (OKI),2016,288,797,0.361355
Olen,13029,Nee,Onderwijskansarmoede-indicator (OKI),2017,297,825,0.36
Olen,13029,Nee,Onderwijskansarmoede-indicator (OKI),2018,337,876,0.384703
Olen,13029,Nee,Onderwijskansarmoede-indicator (OKI),2019,342,864,0.395833
Olen,13029,Nee,Onderwijskansarmoede-indicator (OKI),2020,422,831,0.507822
Olen,13029,Nee,Onderwijskansarmoede-indicator (OKI),2021,391,811,0.482121
Oud-Turnhout,13031,Nee,Onderwijskansarmoede-indicator (OKI),2009,259,775,0.334194
Oud-Turnhout,13031,Nee,Onderwijskansarmoede-indicator (OKI),2010,237,755,0.313907
Oud-Turnhout,13031,Nee,Onderwijskansarmoede-indicator (OKI),2011,211,766,0.275457
Oud-Turnhout,13031,Nee,Onderwijskansarmoede-indicator (OKI),2012,215,744,0.288978
Oud-Turnhout,13031,Nee,Onderwijskansarmoede-indicator (OKI),2013,206,742,0.277628
Oud-Turnhout,13031,Nee,Onderwijskansarmoede-indicator (OKI),2014,209,784,0.266582
Oud-Turnhout,13031,Nee,Onderwijskansarmoede-indicator (OKI),2015,205,800,0.25625
Oud-Turnhout,13031,Nee,Onderwijskansarmoede-indicator (OKI),2016,275,820,0.335366
Oud-Turnhout,13031,Nee,Onderwijskansarmoede-indicator (OKI),2017,253,852,0.296948
Oud-Turnhout,13031,Nee,Onderwijskansarmoede-indicator (OKI),2018,254,872,0.291284
Oud-Turnhout,13031,Nee,Onderwijskansarmoede-indicator (OKI),2019,282,894,0.315436
Oud-Turnhout,13031,Nee,Onderwijskansarmoede-indicator (OKI),2020,450,926,0.485961
Oud-Turnhout,13031,Nee,Onderwijskansarmoede-indicator (OKI),2021,432,927,0.466019
Ravels,13035,Nee,Onderwijskansarmoede-indicator (OKI),2009,455,999,0.455455
Ravels,13035,Nee,Onderwijskansarmoede-indicator (OKI),2010,474,964,0.491701
Ravels,13035,Nee,Onderwijskansarmoede-indicator (OKI),2011,404,922,0.438178
Ravels,13035,Nee,Onderwijskansarmoede-indicator (OKI),2012,351,896,0.391741
Ravels,13035,Nee,Onderwijskansarmoede-indicator (OKI),2013,334,874,0.382151
Ravels,13035,Nee,Onderwijskansarmoede-indicator (OKI),2014,334,867,0.385236
Ravels,13035,Nee,Onderwijskansarmoede-indicator (OKI),2015,320,850,0.376471
Ravels,13035,Nee,Onderwijskansarmoede-indicator (OKI),2016,433,918,0.471678
Ravels,13035,Nee,Onderwijskansarmoede-indicator (OKI),2017,374,891,0.419753
Ravels,13035,Nee,Onderwijskansarmoede-indicator (OKI),2018,410,889,0.461192
Ravels,13035,Nee,Onderwijskansarmoede-indicator (OKI),2019,472,920,0.513043
Ravels,13035,Nee,Onderwijskansarmoede-indicator (OKI),2020,645,913,0.706462
Ravels,13035,Nee,Onderwijskansarmoede-indicator (OKI),2021,623,939,0.663472
Retie,13036,Nee,Onderwijskansarmoede-indicator (OKI),2009,361,703,0.513514
Retie,13036,Nee,Onderwijskansarmoede-indicator (OKI),2010,369,706,0.522663
Retie,13036,Nee,Onderwijskansarmoede-indicator (OKI),2011,367,684,0.53655
Retie,13036,Nee,Onderwijskansarmoede-indicator (OKI),2012,332,670,0.495522
Retie,13036,Nee,Onderwijskansarmoede-indicator (OKI),2013,362,684,0.52924
Retie,13036,Nee,Onderwijskansarmoede-indicator (OKI),2014,315,668,0.471557
Retie,13036,Nee,Onderwijskansarmoede-indicator (OKI),2015,323,690,0.468116
Retie,13036,Nee,Onderwijskansarmoede-indicator (OKI),2016,353,701,0.503566
Retie,13036,Nee,Onderwijskansarmoede-indicator (OKI),2017,373,718,0.519499
Retie,13036,Nee,Onderwijskansarmoede-indicator (OKI),2018,293,707,0.414427
Retie,13036,Nee,Onderwijskansarmoede-indicator (OKI),2019,345,737,0.468114
Retie,13036,Nee,Onderwijskansarmoede-indicator (OKI),2020,505,763,0.661861
Retie,13036,Nee,Onderwijskansarmoede-indicator (OKI),2021,519,757,0.685601
Rijkevorsel,13037,Nee,Onderwijskansarmoede-indicator (OKI),2009,494,762,0.648294
Rijkevorsel,13037,Nee,Onderwijskansarmoede-indicator (OKI),2010,475,731,0.649795
Rijkevorsel,13037,Nee,Onderwijskansarmoede-indicator (OKI),2011,286,696,0.41092
Rijkevorsel,13037,Nee,Onderwijskansarmoede-indicator (OKI),2012,288,683,0.421669
Rijkevorsel,13037,Nee,Onderwijskansarmoede-indicator (OKI),2013,282,692,0.407514
Rijkevorsel,13037,Nee,Onderwijskansarmoede-indicator (OKI),2014,267,695,0.384173
Rijkevorsel,13037,Nee,Onderwijskansarmoede-indicator (OKI),2015,283,738,0.383469
Rijkevorsel,13037,Nee,Onderwijskansarmoede-indicator (OKI),2016,293,797,0.367629
Rijkevorsel,13037,Nee,Onderwijskansarmoede-indicator (OKI),2017,286,823,0.347509
Rijkevorsel,13037,Nee,Onderwijskansarmoede-indicator (OKI),2018,295,844,0.349526
Rijkevorsel,13037,Nee,Onderwijskansarmoede-indicator (OKI),2019,342,876,0.390411
Rijkevorsel,13037,Nee,Onderwijskansarmoede-indicator (OKI),2020,453,869,0.521289
Rijkevorsel,13037,Nee,Onderwijskansarmoede-indicator (OKI),2021,488,862,0.566125
Turnhout,13040,Ja,Onderwijskansarmoede-indicator (OKI),2009,2377,2171,1.09489
Turnhout,13040,Ja,Onderwijskansarmoede-indicator (OKI),2010,2460,2222,1.10711
Turnhout,13040,Ja,Onderwijskansarmoede-indicator (OKI),2011,2227,2239,0.99464
Turnhout,13040,Ja,Onderwijskansarmoede-indicator (OKI),2012,2284,2234,1.02238
Turnhout,13040,Ja,Onderwijskansarmoede-indicator (OKI),2013,2432,2331,1.04333
Turnhout,13040,Ja,Onderwijskansarmoede-indicator (OKI),2014,2527,2371,1.0658
Turnhout,13040,Ja,Onderwijskansarmoede-indicator (OKI),2015,2630,2439,1.07831
Turnhout,13040,Ja,Onderwijskansarmoede-indicator (OKI),2016,2896,2540,1.14016
Turnhout,13040,Ja,Onderwijskansarmoede-indicator (OKI),2017,3028,2631,1.15089
Turnhout,13040,Ja,Onderwijskansarmoede-indicator (OKI),2018,3420,2799,1.22186
Turnhout,13040,Ja,Onderwijskansarmoede-indicator (OKI),2019,3649,2838,1.28576
Turnhout,13040,Ja,Onderwijskansarmoede-indicator (OKI),2020,4299,2919,1.47276
Turnhout,13040,Ja,Onderwijskansarmoede-indicator (OKI),2021,4424,2942,1.50374
Vorselaar,13044,Nee,Onderwijskansarmoede-indicator (OKI),2009,179,413,0.433414
Vorselaar,13044,Nee,Onderwijskansarmoede-indicator (OKI),2010,170,409,0.415648
Vorselaar,13044,Nee,Onderwijskansarmoede-indicator (OKI),2011,161,414,0.388889
Vorselaar,13044,Nee,Onderwijskansarmoede-indicator (OKI),2012,146,415,0.351807
Vorselaar,13044,Nee,Onderwijskansarmoede-indicator (OKI),2013,145,440,0.329545
Vorselaar,13044,Nee,Onderwijskansarmoede-indicator (OKI),2014,132,430,0.306977
Vorselaar,13044,Nee,Onderwijskansarmoede-indicator (OKI),2015,147,444,0.331081
Vorselaar,13044,Nee,Onderwijskansarmoede-indicator (OKI),2016,163,482,0.338174
Vorselaar,13044,Nee,Onderwijskansarmoede-indicator (OKI),2017,171,497,0.344064
Vorselaar,13044,Nee,Onderwijskansarmoede-indicator (OKI),2018,137,494,0.277328
Vorselaar,13044,Nee,Onderwijskansarmoede-indicator (OKI),2019,146,486,0.300412
Vorselaar,13044,Nee,Onderwijskansarmoede-indicator (OKI),2020,208,477,0.436059
Vorselaar,13044,Nee,Onderwijskansarmoede-indicator (OKI),2021,201,485,0.414433
Vosselaar,13046,Nee,Onderwijskansarmoede-indicator (OKI),2009,244,646,0.377709
Vosselaar,13046,Nee,Onderwijskansarmoede-indicator (OKI),2010,201,614,0.327362
Vosselaar,13046,Nee,Onderwijskansarmoede-indicator (OKI),2011,189,608,0.310855
Vosselaar,13046,Nee,Onderwijskansarmoede-indicator (OKI),2012,191,652,0.292945
Vosselaar,13046,Nee,Onderwijskansarmoede-indicator (OKI),2013,192,642,0.299065
Vosselaar,13046,Nee,Onderwijskansarmoede-indicator (OKI),2014,173,637,0.271586
Vosselaar,13046,Nee,Onderwijskansarmoede-indicator (OKI),2015,160,652,0.245399
Vosselaar,13046,Nee,Onderwijskansarmoede-indicator (OKI),2016,177,701,0.252496
Vosselaar,13046,Nee,Onderwijskansarmoede-indicator (OKI),2017,168,716,0.234637
Vosselaar,13046,Nee,Onderwijskansarmoede-indicator (OKI),2018,191,713,0.267882
Vosselaar,13046,Nee,Onderwijskansarmoede-indicator (OKI),2019,213,765,0.278431
Vosselaar,13046,Nee,Onderwijskansarmoede-indicator (OKI),2020,275,746,0.368633
Vosselaar,13046,Nee,Onderwijskansarmoede-indicator (OKI),2021,310,786,0.394402
Westerlo,13049,Nee,Onderwijskansarmoede-indicator (OKI),2009,520,1410,0.368794
Westerlo,13049,Nee,Onderwijskansarmoede-indicator (OKI),2010,458,1402,0.326676
Westerlo,13049,Nee,Onderwijskansarmoede-indicator (OKI),2011,447,1392,0.321121
Westerlo,13049,Nee,Onderwijskansarmoede-indicator (OKI),2012,448,1413,0.317056
Westerlo,13049,Nee,Onderwijskansarmoede-indicator (OKI),2013,469,1452,0.323003
Westerlo,13049,Nee,Onderwijskansarmoede-indicator (OKI),2014,445,1460,0.304795
Westerlo,13049,Nee,Onderwijskansarmoede-indicator (OKI),2015,466,1525,0.305574
Westerlo,13049,Nee,Onderwijskansarmoede-indicator (OKI),2016,460,1553,0.296201
Westerlo,13049,Nee,Onderwijskansarmoede-indicator (OKI),2017,488,1615,0.302167
Westerlo,13049,Nee,Onderwijskansarmoede-indicator (OKI),2018,524,1619,0.323657
Westerlo,13049,Nee,Onderwijskansarmoede-indicator (OKI),2019,561,1617,0.346939
Westerlo,13049,Nee,Onderwijskansarmoede-indicator (OKI),2020,811,1612,0.503102
Westerlo,13049,Nee,Onderwijskansarmoede-indicator (OKI),2021,840,1582,0.530973
Laakdal,13053,Nee,Onderwijskansarmoede-indicator (OKI),2009,425,815,0.521472
Laakdal,13053,Nee,Onderwijskansarmoede-indicator (OKI),2010,370,782,0.473146
Laakdal,13053,Nee,Onderwijskansarmoede-indicator (OKI),2011,374,818,0.457213
Laakdal,13053,Nee,Onderwijskansarmoede-indicator (OKI),2012,349,807,0.432466
Laakdal,13053,Nee,Onderwijskansarmoede-indicator (OKI),2013,351,835,0.420359
Laakdal,13053,Nee,Onderwijskansarmoede-indicator (OKI),2014,363,889,0.408324
Laakdal,13053,Nee,Onderwijskansarmoede-indicator (OKI),2015,366,895,0.408939
Laakdal,13053,Nee,Onderwijskansarmoede-indicator (OKI),2016,365,955,0.382199
Laakdal,13053,Nee,Onderwijskansarmoede-indicator (OKI),2017,396,988,0.40081
Laakdal,13053,Nee,Onderwijskansarmoede-indicator (OKI),2018,384,1002,0.383234
Laakdal,13053,Nee,Onderwijskansarmoede-indicator (OKI),2019,386,964,0.400415
Laakdal,13053,Nee,Onderwijskansarmoede-indicator (OKI),2020,479,970,0.493814
Laakdal,13053,Nee,Onderwijskansarmoede-indicator (OKI),2021,503,985,0.51066
Asse,23002,Nee,Onderwijskansarmoede-indicator (OKI),2009,1426,1700,0.838824
Asse,23002,Nee,Onderwijskansarmoede-indicator (OKI),2010,1458,1743,0.836489
Asse,23002,Nee,Onderwijskansarmoede-indicator (OKI),2011,1481,1781,0.831555
