Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Totaal netto belastbaar inkomen (in miljoen euro),Aantal inwoners,"Gemiddeld inkomen (in euro), per inwoner"
Brecht,11009,Nee,"Gemiddeld inkomen, per inwoner",2018,629.113,29010,21686.1
Brecht,11009,Nee,"Gemiddeld inkomen, per inwoner",2019,647.414,29268,22120.2
Brecht,11009,Nee,"Gemiddeld inkomen, per inwoner",2020,670.182,29454,22753.5
Edegem,11013,Nee,"Gemiddeld inkomen, per inwoner",1997,302.41,22675,13336.7
Edegem,11013,Nee,"Gemiddeld inkomen, per inwoner",1998,306.46,22484,13630.1
Edegem,11013,Nee,"Gemiddeld inkomen, per inwoner",1999,312.32,22333,13984.7
Edegem,11013,Nee,"Gemiddeld inkomen, per inwoner",2000,322.5,22253,14492.4
Edegem,11013,Nee,"Gemiddeld inkomen, per inwoner",2001,337.6,22188,15215.4
Edegem,11013,Nee,"Gemiddeld inkomen, per inwoner",2002,349.98,22024,15890.8
Edegem,11013,Nee,"Gemiddeld inkomen, per inwoner",2003,355.13,21964,16168.7
Edegem,11013,Nee,"Gemiddeld inkomen, per inwoner",2004,367.309,21912,16762.9
Edegem,11013,Nee,"Gemiddeld inkomen, per inwoner",2005,378.928,21866,17329.6
Edegem,11013,Nee,"Gemiddeld inkomen, per inwoner",2006,386.167,21668,17822.0
Edegem,11013,Nee,"Gemiddeld inkomen, per inwoner",2007,399.064,21616,18461.5
Edegem,11013,Nee,"Gemiddeld inkomen, per inwoner",2008,419.034,21381,19598.4
Edegem,11013,Nee,"Gemiddeld inkomen, per inwoner",2009,416.479,21222,19624.9
Edegem,11013,Nee,"Gemiddeld inkomen, per inwoner",2010,419.315,21171,19806.1
Edegem,11013,Nee,"Gemiddeld inkomen, per inwoner",2011,434.876,21103,20607.3
Edegem,11013,Nee,"Gemiddeld inkomen, per inwoner",2012,450.969,21064,21409.5
Edegem,11013,Nee,"Gemiddeld inkomen, per inwoner",2013,457.874,21159,21639.7
Edegem,11013,Nee,"Gemiddeld inkomen, per inwoner",2014,475.737,21251,22386.6
Edegem,11013,Nee,"Gemiddeld inkomen, per inwoner",2015,486.124,21291,22832.4
Edegem,11013,Nee,"Gemiddeld inkomen, per inwoner",2016,495.783,21578,22976.3
Edegem,11013,Nee,"Gemiddeld inkomen, per inwoner",2017,502.572,21835,23016.8
Edegem,11013,Nee,"Gemiddeld inkomen, per inwoner",2018,520.686,21947,23724.7
Edegem,11013,Nee,"Gemiddeld inkomen, per inwoner",2019,537.025,22063,24340.5
Edegem,11013,Nee,"Gemiddeld inkomen, per inwoner",2020,538.381,22261,24184.9
Essen,11016,Nee,"Gemiddeld inkomen, per inwoner",1997,152.4,15907,9580.69
Essen,11016,Nee,"Gemiddeld inkomen, per inwoner",1998,156.83,16118,9730.12
Essen,11016,Nee,"Gemiddeld inkomen, per inwoner",1999,166.99,16276,10259.9
Essen,11016,Nee,"Gemiddeld inkomen, per inwoner",2000,163.65,16407,9974.4
Essen,11016,Nee,"Gemiddeld inkomen, per inwoner",2001,180.53,16482,10953.2
Essen,11016,Nee,"Gemiddeld inkomen, per inwoner",2002,189.6,16665,11377.1
Essen,11016,Nee,"Gemiddeld inkomen, per inwoner",2003,205.308,16697,12296.1
Essen,11016,Nee,"Gemiddeld inkomen, per inwoner",2004,219.073,16791,13047.1
Essen,11016,Nee,"Gemiddeld inkomen, per inwoner",2005,224.588,16872,13311.3
Essen,11016,Nee,"Gemiddeld inkomen, per inwoner",2006,238.855,17001,14049.5
Essen,11016,Nee,"Gemiddeld inkomen, per inwoner",2007,250.177,17143,14593.5
Essen,11016,Nee,"Gemiddeld inkomen, per inwoner",2008,262.482,17417,15070.5
Essen,11016,Nee,"Gemiddeld inkomen, per inwoner",2009,270.336,17636,15328.7
Essen,11016,Nee,"Gemiddeld inkomen, per inwoner",2010,279.224,17797,15689.4
Essen,11016,Nee,"Gemiddeld inkomen, per inwoner",2011,289.66,17919,16165.0
Essen,11016,Nee,"Gemiddeld inkomen, per inwoner",2012,297.592,18075,16464.3
Essen,11016,Nee,"Gemiddeld inkomen, per inwoner",2013,307.559,18066,17024.2
Essen,11016,Nee,"Gemiddeld inkomen, per inwoner",2014,328.459,18256,17991.8
Essen,11016,Nee,"Gemiddeld inkomen, per inwoner",2015,336.538,18427,18263.3
Essen,11016,Nee,"Gemiddeld inkomen, per inwoner",2016,337.189,18615,18113.8
Essen,11016,Nee,"Gemiddeld inkomen, per inwoner",2017,348.335,18792,18536.3
Essen,11016,Nee,"Gemiddeld inkomen, per inwoner",2018,357.961,19079,18762.0
Essen,11016,Nee,"Gemiddeld inkomen, per inwoner",2019,373.83,19038,19636.0
Essen,11016,Nee,"Gemiddeld inkomen, per inwoner",2020,385.17,19162,20100.7
Hemiksem,11018,Nee,"Gemiddeld inkomen, per inwoner",1997,99.31,9195,10800.4
Hemiksem,11018,Nee,"Gemiddeld inkomen, per inwoner",1998,103.08,9251,11142.6
Hemiksem,11018,Nee,"Gemiddeld inkomen, per inwoner",1999,105.75,9161,11543.5
Hemiksem,11018,Nee,"Gemiddeld inkomen, per inwoner",2000,109.57,9151,11973.6
Hemiksem,11018,Nee,"Gemiddeld inkomen, per inwoner",2001,117.03,9112,12843.5
Hemiksem,11018,Nee,"Gemiddeld inkomen, per inwoner",2002,123.69,9225,13408.1
Hemiksem,11018,Nee,"Gemiddeld inkomen, per inwoner",2003,127.987,9319,13734.0
Hemiksem,11018,Nee,"Gemiddeld inkomen, per inwoner",2004,134.816,9436,14287.4
Hemiksem,11018,Nee,"Gemiddeld inkomen, per inwoner",2005,137.783,9550,14427.5
Hemiksem,11018,Nee,"Gemiddeld inkomen, per inwoner",2006,145.523,9663,15059.8
Hemiksem,11018,Nee,"Gemiddeld inkomen, per inwoner",2007,154.236,9755,15811.0
Hemiksem,11018,Nee,"Gemiddeld inkomen, per inwoner",2008,161.698,9866,16389.4
Hemiksem,11018,Nee,"Gemiddeld inkomen, per inwoner",2009,166.11,10047,16533.3
Hemiksem,11018,Nee,"Gemiddeld inkomen, per inwoner",2010,167.376,10166,16464.2
Hemiksem,11018,Nee,"Gemiddeld inkomen, per inwoner",2011,175.374,10318,16996.9
Hemiksem,11018,Nee,"Gemiddeld inkomen, per inwoner",2012,183.635,10605,17315.9
Hemiksem,11018,Nee,"Gemiddeld inkomen, per inwoner",2013,191.174,10765,17758.8
Hemiksem,11018,Nee,"Gemiddeld inkomen, per inwoner",2014,202.297,10866,18617.4
Hemiksem,11018,Nee,"Gemiddeld inkomen, per inwoner",2015,206.109,11040,18669.2
Hemiksem,11018,Nee,"Gemiddeld inkomen, per inwoner",2016,208.343,11148,18688.8
Hemiksem,11018,Nee,"Gemiddeld inkomen, per inwoner",2017,219.349,11233,19527.2
Hemiksem,11018,Nee,"Gemiddeld inkomen, per inwoner",2018,224.716,11368,19767.4
Hemiksem,11018,Nee,"Gemiddeld inkomen, per inwoner",2019,231.781,11559,20052.0
Hemiksem,11018,Nee,"Gemiddeld inkomen, per inwoner",2020,239.383,11634,20576.2
Hove,11021,Nee,"Gemiddeld inkomen, per inwoner",1997,112.02,8285,13520.8
Hove,11021,Nee,"Gemiddeld inkomen, per inwoner",1998,114.44,8391,13638.4
Hove,11021,Nee,"Gemiddeld inkomen, per inwoner",1999,122.05,8344,14627.3
Hove,11021,Nee,"Gemiddeld inkomen, per inwoner",2000,127.96,8306,15405.7
Hove,11021,Nee,"Gemiddeld inkomen, per inwoner",2001,132.67,8277,16028.8
Hove,11021,Nee,"Gemiddeld inkomen, per inwoner",2002,135.22,8261,16368.5
Hove,11021,Nee,"Gemiddeld inkomen, per inwoner",2003,136.885,8162,16771.0
Hove,11021,Nee,"Gemiddeld inkomen, per inwoner",2004,147.934,8155,18140.3
Hove,11021,Nee,"Gemiddeld inkomen, per inwoner",2005,153.306,8177,18748.4
Hove,11021,Nee,"Gemiddeld inkomen, per inwoner",2006,160.077,8307,19270.2
Hove,11021,Nee,"Gemiddeld inkomen, per inwoner",2007,167.916,8298,20235.7
Hove,11021,Nee,"Gemiddeld inkomen, per inwoner",2008,173.523,8323,20848.6
Hove,11021,Nee,"Gemiddeld inkomen, per inwoner",2009,171.759,8212,20915.6
Hove,11021,Nee,"Gemiddeld inkomen, per inwoner",2010,177.031,8199,21591.8
Hove,11021,Nee,"Gemiddeld inkomen, per inwoner",2011,179.251,8190,21886.5
Hove,11021,Nee,"Gemiddeld inkomen, per inwoner",2012,188.711,8199,23016.3
Hove,11021,Nee,"Gemiddeld inkomen, per inwoner",2013,199.488,8198,24333.8
Hove,11021,Nee,"Gemiddeld inkomen, per inwoner",2014,202.812,8216,24685.1
Hove,11021,Nee,"Gemiddeld inkomen, per inwoner",2015,203.94,8193,24892.0
Hove,11021,Nee,"Gemiddeld inkomen, per inwoner",2016,208.178,8141,25571.6
Hove,11021,Nee,"Gemiddeld inkomen, per inwoner",2017,210.403,8152,25810.0
Hove,11021,Nee,"Gemiddeld inkomen, per inwoner",2018,215.628,8115,26571.5
Hove,11021,Nee,"Gemiddeld inkomen, per inwoner",2019,226.279,8125,27849.8
Hove,11021,Nee,"Gemiddeld inkomen, per inwoner",2020,237.476,8277,28691.1
Kalmthout,11022,Nee,"Gemiddeld inkomen, per inwoner",1997,179.38,17041,10526.4
