Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Niet bereid (%),Neutraal (%),Bereid (%)
 Sint-Niklaas ,46021,ja,Bereidheid om mee te praten over de gemeente,2020,0.27,0.33,0.4
 Sint-Pieters-Leeuw ,23077,nee,Bereidheid om mee te praten over de gemeente,2020,0.37,0.31,0.32
 Sint-Truiden ,71053,nee,Bereidheid om mee te praten over de gemeente,2020,0.33,0.3,0.38
 Spiere-Helkijn ,34043,nee,Bereidheid om mee te praten over de gemeente,2020,0.24,0.29,0.46
 Stabroek ,11044,nee,Bereidheid om mee te praten over de gemeente,2020,0.29,0.34,0.37
 Staden ,36019,nee,Bereidheid om mee te praten over de gemeente,2020,0.31,0.3,0.39
 Steenokkerzeel ,23081,nee,Bereidheid om mee te praten over de gemeente,2020,0.32,0.3,0.38
 Stekene ,46024,nee,Bereidheid om mee te praten over de gemeente,2020,0.27,0.29,0.44
 Temse ,46025,nee,Bereidheid om mee te praten over de gemeente,2020,0.24,0.33,0.43
 Ternat ,23086,nee,Bereidheid om mee te praten over de gemeente,2020,0.27,0.3,0.44
 Tervuren ,24104,nee,Bereidheid om mee te praten over de gemeente,2020,0.28,0.31,0.4
 Tessenderlo ,71057,nee,Bereidheid om mee te praten over de gemeente,2020,0.32,0.37,0.31
 Tielt ,37015,nee,Bereidheid om mee te praten over de gemeente,2020,0.24,0.39,0.37
 Tielt-Winge ,24135,nee,Bereidheid om mee te praten over de gemeente,2020,0.27,0.35,0.39
 Tienen ,24107,nee,Bereidheid om mee te praten over de gemeente,2020,0.29,0.38,0.33
 Tongeren ,73083,nee,Bereidheid om mee te praten over de gemeente,2020,0.31,0.34,0.35
 Torhout ,31033,nee,Bereidheid om mee te praten over de gemeente,2020,0.28,0.36,0.36
 Tremelo ,24109,nee,Bereidheid om mee te praten over de gemeente,2020,0.3,0.38,0.32
 Turnhout ,13040,ja,Bereidheid om mee te praten over de gemeente,2008,0.29,0.33,0.39
 Turnhout ,13040,ja,Bereidheid om mee te praten over de gemeente,2011,0.29,0.37,0.34
 Turnhout ,13040,ja,Bereidheid om mee te praten over de gemeente,2014,0.25,0.32,0.43
 Turnhout ,13040,ja,Bereidheid om mee te praten over de gemeente,2017,0.24,0.33,0.42
 Turnhout ,13040,ja,Bereidheid om mee te praten over de gemeente,2020,0.31,0.33,0.36
 Veurne ,38025,nee,Bereidheid om mee te praten over de gemeente,2020,0.29,0.34,0.36
 Vilvoorde ,23088,nee,Bereidheid om mee te praten over de gemeente,2020,0.32,0.36,0.31
 Vleteren ,33041,nee,Bereidheid om mee te praten over de gemeente,2020,0.3,0.33,0.36
 Voeren ,73109,nee,Bereidheid om mee te praten over de gemeente,2020,0.24,0.35,0.42
 Vorselaar ,13044,nee,Bereidheid om mee te praten over de gemeente,2020,0.27,0.36,0.37
 Vosselaar ,13046,nee,Bereidheid om mee te praten over de gemeente,2020,0.35,0.33,0.32
 Waasmunster ,42023,nee,Bereidheid om mee te praten over de gemeente,2020,0.27,0.33,0.39
 Wachtebeke ,44073,nee,Bereidheid om mee te praten over de gemeente,2020,0.27,0.33,0.4
 Waregem ,34040,nee,Bereidheid om mee te praten over de gemeente,2020,0.33,0.32,0.35
 Wellen ,73098,nee,Bereidheid om mee te praten over de gemeente,2020,0.3,0.37,0.33
 Wemmel ,23102,nee,Bereidheid om mee te praten over de gemeente,2020,0.29,0.32,0.39
 Wervik ,33029,nee,Bereidheid om mee te praten over de gemeente,2020,0.34,0.34,0.32
 Westerlo ,13049,nee,Bereidheid om mee te praten over de gemeente,2020,0.29,0.36,0.35
 Wetteren ,42025,nee,Bereidheid om mee te praten over de gemeente,2020,0.3,0.4,0.3
 Wevelgem ,34041,nee,Bereidheid om mee te praten over de gemeente,2020,0.33,0.31,0.36
 Wezembeek-Oppem ,23103,nee,Bereidheid om mee te praten over de gemeente,2020,0.29,0.36,0.35
 Wichelen ,42026,nee,Bereidheid om mee te praten over de gemeente,2020,0.28,0.35,0.37
 Wielsbeke ,37017,nee,Bereidheid om mee te praten over de gemeente,2020,0.28,0.32,0.4
 Wijnegem ,11050,nee,Bereidheid om mee te praten over de gemeente,2020,0.26,0.33,0.41
 Willebroek ,12040,nee,Bereidheid om mee te praten over de gemeente,2020,0.35,0.23,0.42
 Wingene ,37018,nee,Bereidheid om mee te praten over de gemeente,2020,0.27,0.32,0.41
 Wommelgem ,11052,nee,Bereidheid om mee te praten over de gemeente,2020,0.29,0.35,0.36
 Wortegem-Petegem ,45061,nee,Bereidheid om mee te praten over de gemeente,2020,0.24,0.37,0.4
 Wuustwezel ,11053,nee,Bereidheid om mee te praten over de gemeente,2020,0.3,0.37,0.33
 Zandhoven ,11054,nee,Bereidheid om mee te praten over de gemeente,2020,0.29,0.3,0.41
 Zaventem ,23094,nee,Bereidheid om mee te praten over de gemeente,2020,0.37,0.34,0.29
 Zedelgem ,31040,nee,Bereidheid om mee te praten over de gemeente,2020,0.28,0.37,0.35
 Zele ,42028,nee,Bereidheid om mee te praten over de gemeente,2020,0.28,0.35,0.37
 Zelzate ,43018,nee,Bereidheid om mee te praten over de gemeente,2020,0.3,0.31,0.4
 Zemst ,23096,nee,Bereidheid om mee te praten over de gemeente,2020,0.28,0.34,0.38
 Zoersel ,11055,nee,Bereidheid om mee te praten over de gemeente,2020,0.26,0.39,0.35
 Zonhoven ,71066,nee,Bereidheid om mee te praten over de gemeente,2020,0.31,0.37,0.32
 Zonnebeke ,33037,nee,Bereidheid om mee te praten over de gemeente,2020,0.3,0.31,0.39
 Zottegem ,41081,nee,Bereidheid om mee te praten over de gemeente,2020,0.32,0.34,0.34
 Zoutleeuw ,24130,nee,Bereidheid om mee te praten over de gemeente,2020,0.28,0.36,0.36
 Zuienkerke ,31042,nee,Bereidheid om mee te praten over de gemeente,2020,0.17,0.34,0.49
 Zulte ,44081,nee,Bereidheid om mee te praten over de gemeente,2020,0.27,0.37,0.36
 Zutendaal ,71067,nee,Bereidheid om mee te praten over de gemeente,2020,0.26,0.31,0.43
 Zwalm ,45065,nee,Bereidheid om mee te praten over de gemeente,2020,0.23,0.35,0.42
 Zwevegem ,34042,nee,Bereidheid om mee te praten over de gemeente,2020,0.35,0.33,0.32
 Zwijndrecht ,11056,nee,Bereidheid om mee te praten over de gemeente,2020,0.3,0.34,0.36
13 centrumsteden,/,/,Bereidheid om mee te praten over de gemeente,2008,0.25,0.32,0.43
13 centrumsteden,/,/,Bereidheid om mee te praten over de gemeente,2011,0.28,0.33,0.4
13 centrumsteden,/,/,Bereidheid om mee te praten over de gemeente,2014,0.22,0.31,0.47
13 centrumsteden,/,/,Bereidheid om mee te praten over de gemeente,2017,0.21,0.31,0.48
13 centrumsteden,/,/,Bereidheid om mee te praten over de gemeente,2020,0.26,0.32,0.42
Gemeenten groter dan 50.000 inw.,/,/,Bereidheid om mee te praten over de gemeente,2020,0.26,0.32,0.42
Gemeenten kleiner dan 10.000 inw.,/,/,Bereidheid om mee te praten over de gemeente,2020,0.27,0.34,0.39
Gemeenten van 10.000 tot 20.000 inw.,/,/,Bereidheid om mee te praten over de gemeente,2020,0.29,0.35,0.37
Gemeenten van 20.000 tot 30.000 inw.,/,/,Bereidheid om mee te praten over de gemeente,2020,0.3,0.34,0.36
Gemeenten van 30.000 tot 50.000 inw.,/,/,Bereidheid om mee te praten over de gemeente,2020,0.31,0.33,0.36
Vlaams Gewest,/,/,Bereidheid om mee te praten over de gemeente,2020,0.29,0.34,0.38
