Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Ja (%),Nee (%)
 Heist-Op-Den-Berg ,12014,nee,Voldoende consultatie van inwoners,2017,0.37,0.63
 Heist-Op-Den-Berg ,12014,nee,Voldoende consultatie van inwoners,2020,0.33,0.67
 Hemiksem ,11018,nee,Voldoende consultatie van inwoners,2017,0.38,0.62
 Hemiksem ,11018,nee,Voldoende consultatie van inwoners,2020,0.32,0.68
 Herent ,24038,nee,Voldoende consultatie van inwoners,2017,0.37,0.63
 Herent ,24038,nee,Voldoende consultatie van inwoners,2020,0.24,0.76
 Herentals ,13011,nee,Voldoende consultatie van inwoners,2017,0.34,0.66
 Herentals ,13011,nee,Voldoende consultatie van inwoners,2020,0.35,0.65
 Herenthout ,13012,nee,Voldoende consultatie van inwoners,2017,0.47,0.53
 Herenthout ,13012,nee,Voldoende consultatie van inwoners,2020,0.44,0.56
 Herk-De-Stad ,71024,nee,Voldoende consultatie van inwoners,2017,0.42,0.58
 Herk-De-Stad ,71024,nee,Voldoende consultatie van inwoners,2020,0.38,0.62
 Herne ,23032,nee,Voldoende consultatie van inwoners,2017,0.6,0.4
 Herne ,23032,nee,Voldoende consultatie van inwoners,2020,0.64,0.36
 Herselt ,13013,nee,Voldoende consultatie van inwoners,2017,0.39,0.61
 Herselt ,13013,nee,Voldoende consultatie van inwoners,2020,0.41,0.59
 Herzele ,41027,nee,Voldoende consultatie van inwoners,2017,0.39,0.61
 Herzele ,41027,nee,Voldoende consultatie van inwoners,2020,0.45,0.55
 Heusden-Zolder ,71070,nee,Voldoende consultatie van inwoners,2017,0.37,0.63
 Heusden-Zolder ,71070,nee,Voldoende consultatie van inwoners,2020,0.33,0.67
 Heuvelland ,33039,nee,Voldoende consultatie van inwoners,2017,0.4,0.6
 Heuvelland ,33039,nee,Voldoende consultatie van inwoners,2020,0.42,0.58
 Hoegaarden ,24041,nee,Voldoende consultatie van inwoners,2017,0.37,0.63
 Hoegaarden ,24041,nee,Voldoende consultatie van inwoners,2020,0.28,0.72
 Hoeilaart ,23033,nee,Voldoende consultatie van inwoners,2017,0.52,0.48
 Hoeilaart ,23033,nee,Voldoende consultatie van inwoners,2020,0.49,0.51
 Hoeselt ,73032,nee,Voldoende consultatie van inwoners,2017,0.41,0.59
 Hoeselt ,73032,nee,Voldoende consultatie van inwoners,2020,0.22,0.78
 Holsbeek ,24043,nee,Voldoende consultatie van inwoners,2017,0.35,0.65
 Holsbeek ,24043,nee,Voldoende consultatie van inwoners,2020,0.39,0.61
 Hooglede ,36006,nee,Voldoende consultatie van inwoners,2017,0.49,0.51
 Hooglede ,36006,nee,Voldoende consultatie van inwoners,2020,0.42,0.58
 Hoogstraten ,13014,nee,Voldoende consultatie van inwoners,2017,0.41,0.59
 Hoogstraten ,13014,nee,Voldoende consultatie van inwoners,2020,0.4,0.6
 Horebeke ,45062,nee,Voldoende consultatie van inwoners,2017,0.25,0.75
 Horebeke ,45062,nee,Voldoende consultatie van inwoners,2020,0.33,0.67
 Houthalen-Helchteren ,72039,nee,Voldoende consultatie van inwoners,2017,0.32,0.68
 Houthalen-Helchteren ,72039,nee,Voldoende consultatie van inwoners,2020,0.35,0.65
 Houthulst ,32006,nee,Voldoende consultatie van inwoners,2017,0.4,0.6
 Houthulst ,32006,nee,Voldoende consultatie van inwoners,2020,0.43,0.57
 Hove ,11021,nee,Voldoende consultatie van inwoners,2017,0.35,0.65
 Hove ,11021,nee,Voldoende consultatie van inwoners,2020,0.3,0.7
 Huldenberg ,24045,nee,Voldoende consultatie van inwoners,2017,0.34,0.66
 Huldenberg ,24045,nee,Voldoende consultatie van inwoners,2020,0.37,0.63
 Hulshout ,13016,nee,Voldoende consultatie van inwoners,2017,0.39,0.61
 Hulshout ,13016,nee,Voldoende consultatie van inwoners,2020,0.33,0.67
 Ichtegem ,35006,nee,Voldoende consultatie van inwoners,2017,0.36,0.64
 Ichtegem ,35006,nee,Voldoende consultatie van inwoners,2020,0.4,0.6
 Ieper ,33011,nee,Voldoende consultatie van inwoners,2017,0.37,0.63
 Ieper ,33011,nee,Voldoende consultatie van inwoners,2020,0.43,0.57
 Ingelmunster ,36007,nee,Voldoende consultatie van inwoners,2017,0.55,0.45
 Ingelmunster ,36007,nee,Voldoende consultatie van inwoners,2020,0.51,0.49
 Izegem ,36008,nee,Voldoende consultatie van inwoners,2017,0.48,0.52
 Izegem ,36008,nee,Voldoende consultatie van inwoners,2020,0.34,0.66
 Jabbeke ,31012,nee,Voldoende consultatie van inwoners,2017,0.33,0.67
 Jabbeke ,31012,nee,Voldoende consultatie van inwoners,2020,0.19,0.81
 Kalmthout ,11022,nee,Voldoende consultatie van inwoners,2017,0.58,0.42
 Kalmthout ,11022,nee,Voldoende consultatie van inwoners,2020,0.52,0.48
 Kampenhout ,23038,nee,Voldoende consultatie van inwoners,2017,0.38,0.62
 Kampenhout ,23038,nee,Voldoende consultatie van inwoners,2020,0.35,0.65
 Kapellen ,11023,nee,Voldoende consultatie van inwoners,2017,0.45,0.55
 Kapellen ,11023,nee,Voldoende consultatie van inwoners,2020,0.37,0.63
 Kapelle-Op-Den-Bos ,23039,nee,Voldoende consultatie van inwoners,2017,0.35,0.65
 Kapelle-Op-Den-Bos ,23039,nee,Voldoende consultatie van inwoners,2020,0.36,0.64
 Kaprijke ,43007,nee,Voldoende consultatie van inwoners,2017,0.48,0.52
 Kaprijke ,43007,nee,Voldoende consultatie van inwoners,2020,0.59,0.41
 Kasterlee ,13017,nee,Voldoende consultatie van inwoners,2017,0.46,0.54
 Kasterlee ,13017,nee,Voldoende consultatie van inwoners,2020,0.43,0.57
 Keerbergen ,24048,nee,Voldoende consultatie van inwoners,2017,0.31,0.69
 Keerbergen ,24048,nee,Voldoende consultatie van inwoners,2020,0.24,0.76
 Kinrooi ,72018,nee,Voldoende consultatie van inwoners,2017,0.59,0.41
 Kinrooi ,72018,nee,Voldoende consultatie van inwoners,2020,0.6,0.4
 Kluisbergen ,45060,nee,Voldoende consultatie van inwoners,2017,0.41,0.59
 Kluisbergen ,45060,nee,Voldoende consultatie van inwoners,2020,0.38,0.62
 Knesselare ,44029,nee,Voldoende consultatie van inwoners,2017,0.3,0.7
 Knokke-Heist ,31043,nee,Voldoende consultatie van inwoners,2017,0.61,0.39
 Knokke-Heist ,31043,nee,Voldoende consultatie van inwoners,2020,0.58,0.42
 Koekelare ,32010,nee,Voldoende consultatie van inwoners,2017,0.57,0.43
 Koekelare ,32010,nee,Voldoende consultatie van inwoners,2020,0.58,0.42
 Koksijde ,38014,nee,Voldoende consultatie van inwoners,2017,0.64,0.36
 Koksijde ,38014,nee,Voldoende consultatie van inwoners,2020,0.55,0.45
 Kontich ,11024,nee,Voldoende consultatie van inwoners,2017,0.37,0.63
 Kontich ,11024,nee,Voldoende consultatie van inwoners,2020,0.34,0.66
 Kortemark ,32011,nee,Voldoende consultatie van inwoners,2017,0.42,0.58
 Kortemark ,32011,nee,Voldoende consultatie van inwoners,2020,0.44,0.56
 Kortenaken ,24054,nee,Voldoende consultatie van inwoners,2017,0.45,0.55
 Kortenaken ,24054,nee,Voldoende consultatie van inwoners,2020,0.46,0.54
 Kortenberg ,24055,nee,Voldoende consultatie van inwoners,2017,0.41,0.59
 Kortenberg ,24055,nee,Voldoende consultatie van inwoners,2020,0.35,0.65
 Kortessem ,73040,nee,Voldoende consultatie van inwoners,2017,0.45,0.55
 Kortessem ,73040,nee,Voldoende consultatie van inwoners,2020,0.3,0.7
 Kortrijk ,34022,ja,Voldoende consultatie van inwoners,2017,0.43,0.57
 Kortrijk ,34022,ja,Voldoende consultatie van inwoners,2020,0.43,0.57
 Kraainem ,23099,nee,Voldoende consultatie van inwoners,2017,0.37,0.63
 Kraainem ,23099,nee,Voldoende consultatie van inwoners,2020,0.48,0.52
 Kruibeke ,46013,nee,Voldoende consultatie van inwoners,2017,0.42,0.58
 Kruibeke ,46013,nee,Voldoende consultatie van inwoners,2020,0.3,0.7
 Kruisem ,45068,nee,Voldoende consultatie van inwoners,2020,0.45,0.55
 Kruishoutem ,45017,nee,Voldoende consultatie van inwoners,2017,0.53,0.47
 Kuurne ,34023,nee,Voldoende consultatie van inwoners,2017,0.54,0.46
 Kuurne ,34023,nee,Voldoende consultatie van inwoners,2020,0.55,0.45
 Laakdal ,13053,nee,Voldoende consultatie van inwoners,2017,0.41,0.59
 Laakdal ,13053,nee,Voldoende consultatie van inwoners,2020,0.4,0.6
 Laarne ,42010,nee,Voldoende consultatie van inwoners,2017,0.49,0.51
 Laarne ,42010,nee,Voldoende consultatie van inwoners,2020,0.45,0.55
 Lanaken ,73042,nee,Voldoende consultatie van inwoners,2017,0.38,0.62
 Lanaken ,73042,nee,Voldoende consultatie van inwoners,2020,0.39,0.61
 Landen ,24059,nee,Voldoende consultatie van inwoners,2017,0.31,0.69
 Landen ,24059,nee,Voldoende consultatie van inwoners,2020,0.27,0.73
 Langemark-Poelkapelle ,33040,nee,Voldoende consultatie van inwoners,2017,0.48,0.52
 Langemark-Poelkapelle ,33040,nee,Voldoende consultatie van inwoners,2020,0.45,0.55
 Lebbeke ,42011,nee,Voldoende consultatie van inwoners,2017,0.38,0.62
 Lebbeke ,42011,nee,Voldoende consultatie van inwoners,2020,0.31,0.69
 Lede ,41034,nee,Voldoende consultatie van inwoners,2017,0.43,0.57
 Lede ,41034,nee,Voldoende consultatie van inwoners,2020,0.3,0.7
 Ledegem ,36010,nee,Voldoende consultatie van inwoners,2017,0.62,0.38
 Ledegem ,36010,nee,Voldoende consultatie van inwoners,2020,0.6,0.4
 Lendelede ,34025,nee,Voldoende consultatie van inwoners,2017,0.57,0.43
 Lendelede ,34025,nee,Voldoende consultatie van inwoners,2020,0.58,0.42
 Lennik ,23104,nee,Voldoende consultatie van inwoners,2017,0.28,0.72
 Lennik ,23104,nee,Voldoende consultatie van inwoners,2020,0.29,0.71
 Leopoldsburg ,71034,nee,Voldoende consultatie van inwoners,2017,0.31,0.69
 Leopoldsburg ,71034,nee,Voldoende consultatie van inwoners,2020,0.27,0.73
 Leuven ,24062,ja,Voldoende consultatie van inwoners,2017,0.29,0.71
 Leuven ,24062,ja,Voldoende consultatie van inwoners,2020,0.44,0.56
 Lichtervelde ,36011,nee,Voldoende consultatie van inwoners,2017,0.5,0.5
 Lichtervelde ,36011,nee,Voldoende consultatie van inwoners,2020,0.47,0.53
 Liedekerke ,23044,nee,Voldoende consultatie van inwoners,2017,0.47,0.53
 Liedekerke ,23044,nee,Voldoende consultatie van inwoners,2020,0.33,0.67
 Lier ,12021,nee,Voldoende consultatie van inwoners,2017,0.28,0.72
 Lier ,12021,nee,Voldoende consultatie van inwoners,2020,0.32,0.68
 Lierde ,45063,nee,Voldoende consultatie van inwoners,2017,0.51,0.49
 Lierde ,45063,nee,Voldoende consultatie van inwoners,2020,0.55,0.45
 Lievegem ,44085,nee,Voldoende consultatie van inwoners,2020,0.37,0.63
 Lille ,13019,nee,Voldoende consultatie van inwoners,2017,0.4,0.6
 Lille ,13019,nee,Voldoende consultatie van inwoners,2020,0.4,0.6
 Linkebeek ,23100,nee,Voldoende consultatie van inwoners,2017,0.43,0.57
 Linkebeek ,23100,nee,Voldoende consultatie van inwoners,2020,0.35,0.65
 Lint ,11025,nee,Voldoende consultatie van inwoners,2017,0.31,0.69
 Lint ,11025,nee,Voldoende consultatie van inwoners,2020,0.27,0.73
 Linter ,24133,nee,Voldoende consultatie van inwoners,2017,0.49,0.51
 Linter ,24133,nee,Voldoende consultatie van inwoners,2020,0.42,0.58
 Lochristi ,44034,nee,Voldoende consultatie van inwoners,2017,0.61,0.39
 Lochristi ,44034,nee,Voldoende consultatie van inwoners,2020,0.51,0.49
 Lokeren ,46014,nee,Voldoende consultatie van inwoners,2017,0.37,0.63
 Lokeren ,46014,nee,Voldoende consultatie van inwoners,2020,0.3,0.7
 Lommel ,72020,nee,Voldoende consultatie van inwoners,2017,0.5,0.5
 Lommel ,72020,nee,Voldoende consultatie van inwoners,2020,0.49,0.51
 Londerzeel ,23045,nee,Voldoende consultatie van inwoners,2017,0.37,0.63
 Londerzeel ,23045,nee,Voldoende consultatie van inwoners,2020,0.31,0.69
 Lo-Reninge ,32030,nee,Voldoende consultatie van inwoners,2017,0.51,0.49
 Lo-Reninge ,32030,nee,Voldoende consultatie van inwoners,2020,0.47,0.53
 Lovendegem ,44036,nee,Voldoende consultatie van inwoners,2017,0.42,0.58
 Lubbeek ,24066,nee,Voldoende consultatie van inwoners,2017,0.35,0.65
 Lubbeek ,24066,nee,Voldoende consultatie van inwoners,2020,0.25,0.75
