Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Weinig (%),Neutraal (%),Veel (%)
 De Pinte ,44012,nee,Vertrouwen in politie ,2020,0.09,0.36,0.56
 Deerlijk ,34009,nee,Vertrouwen in politie ,2017,0.13,0.32,0.55
 Deerlijk ,34009,nee,Vertrouwen in politie ,2020,0.15,0.31,0.54
 Deinze ,44011,nee,Vertrouwen in politie ,2017,0.12,0.38,0.5
 Deinze ,44083,nee,Vertrouwen in politie ,2020,0.13,0.4,0.47
 Denderleeuw ,41011,nee,Vertrouwen in politie ,2017,0.18,0.38,0.44
 Denderleeuw ,41011,nee,Vertrouwen in politie ,2020,0.17,0.41,0.42
 Dendermonde ,42006,nee,Vertrouwen in politie ,2017,0.14,0.37,0.49
 Dendermonde ,42006,nee,Vertrouwen in politie ,2020,0.17,0.39,0.44
 Dentergem ,37002,nee,Vertrouwen in politie ,2017,0.14,0.41,0.45
 Dentergem ,37002,nee,Vertrouwen in politie ,2020,0.12,0.37,0.51
 Dessel ,13006,nee,Vertrouwen in politie ,2017,0.15,0.34,0.51
 Dessel ,13006,nee,Vertrouwen in politie ,2020,0.13,0.43,0.44
 Destelbergen ,44013,nee,Vertrouwen in politie ,2017,0.11,0.34,0.54
 Destelbergen ,44013,nee,Vertrouwen in politie ,2020,0.13,0.33,0.54
 Diepenbeek ,71011,nee,Vertrouwen in politie ,2017,0.12,0.42,0.47
 Diepenbeek ,71011,nee,Vertrouwen in politie ,2020,0.13,0.38,0.49
 Diest ,24020,nee,Vertrouwen in politie ,2017,0.12,0.42,0.46
 Diest ,24020,nee,Vertrouwen in politie ,2020,0.13,0.4,0.47
 Diksmuide ,32003,nee,Vertrouwen in politie ,2017,0.18,0.41,0.41
 Diksmuide ,32003,nee,Vertrouwen in politie ,2020,0.16,0.41,0.42
 Dilbeek ,23016,nee,Vertrouwen in politie ,2017,0.09,0.36,0.55
 Dilbeek ,23016,nee,Vertrouwen in politie ,2020,0.16,0.36,0.48
 Dilsen-Stokkem ,72041,nee,Vertrouwen in politie ,2017,0.17,0.38,0.45
 Dilsen-Stokkem ,72041,nee,Vertrouwen in politie ,2020,0.15,0.39,0.45
 Drogenbos ,23098,nee,Vertrouwen in politie ,2017,0.16,0.33,0.51
 Drogenbos ,23098,nee,Vertrouwen in politie ,2020,0.15,0.39,0.46
 Duffel ,12009,nee,Vertrouwen in politie ,2017,0.15,0.35,0.5
 Duffel ,12009,nee,Vertrouwen in politie ,2020,0.17,0.39,0.44
 Edegem ,11013,nee,Vertrouwen in politie ,2017,0.09,0.35,0.56
 Edegem ,11013,nee,Vertrouwen in politie ,2020,0.11,0.35,0.54
 Eeklo ,43005,nee,Vertrouwen in politie ,2017,0.17,0.41,0.42
 Eeklo ,43005,nee,Vertrouwen in politie ,2020,0.14,0.34,0.52
 Erpe-Mere ,41082,nee,Vertrouwen in politie ,2017,0.15,0.39,0.45
 Erpe-Mere ,41082,nee,Vertrouwen in politie ,2020,0.22,0.33,0.45
 Essen ,11016,nee,Vertrouwen in politie ,2017,0.13,0.39,0.48
 Essen ,11016,nee,Vertrouwen in politie ,2020,0.14,0.42,0.44
 Evergem ,44019,nee,Vertrouwen in politie ,2017,0.16,0.4,0.43
 Evergem ,44019,nee,Vertrouwen in politie ,2020,0.17,0.39,0.44
 Galmaarden ,23023,nee,Vertrouwen in politie ,2017,0.16,0.32,0.52
 Galmaarden ,23023,nee,Vertrouwen in politie ,2020,0.15,0.41,0.44
 Gavere ,44020,nee,Vertrouwen in politie ,2017,0.15,0.35,0.5
 Gavere ,44020,nee,Vertrouwen in politie ,2020,0.14,0.39,0.47
 Geel ,13008,nee,Vertrouwen in politie ,2017,0.15,0.39,0.46
 Geel ,13008,nee,Vertrouwen in politie ,2020,0.15,0.42,0.43
 Geetbets ,24028,nee,Vertrouwen in politie ,2017,0.17,0.41,0.42
