Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Nooit/minder dan 1 keer per maand (%),Meerdere keren per maand (%),Minstens wekelijks (%),Dagelijks (%)
 Herne ,23032,nee,Actief bewegen,2020,0.16,0.22,0.45,0.17
 Herselt ,13013,nee,Actief bewegen,2020,0.11,0.24,0.44,0.2
 Herzele ,41027,nee,Actief bewegen,2020,0.15,0.27,0.4,0.18
 Heusden-Zolder ,71070,nee,Actief bewegen,2020,0.15,0.23,0.41,0.21
 Heuvelland ,33039,nee,Actief bewegen,2020,0.16,0.24,0.42,0.18
 Hoegaarden ,24041,nee,Actief bewegen,2020,0.09,0.17,0.47,0.26
 Hoeilaart ,23033,nee,Actief bewegen,2020,0.11,0.17,0.47,0.24
 Hoeselt ,73032,nee,Actief bewegen,2020,0.15,0.18,0.48,0.19
 Holsbeek ,24043,nee,Actief bewegen,2020,0.09,0.16,0.52,0.22
 Hooglede ,36006,nee,Actief bewegen,2020,0.12,0.23,0.43,0.23
 Hoogstraten ,13014,nee,Actief bewegen,2020,0.1,0.16,0.53,0.21
 Horebeke ,45062,nee,Actief bewegen,2020,0.12,0.26,0.48,0.14
 Houthalen-Helchteren ,72039,nee,Actief bewegen,2020,0.13,0.22,0.45,0.2
 Houthulst ,32006,nee,Actief bewegen,2020,0.16,0.24,0.36,0.24
 Hove ,11021,nee,Actief bewegen,2020,0.08,0.13,0.52,0.28
 Huldenberg ,24045,nee,Actief bewegen,2020,0.13,0.15,0.52,0.2
 Hulshout ,13016,nee,Actief bewegen,2020,0.14,0.26,0.39,0.2
 Ichtegem ,35006,nee,Actief bewegen,2020,0.17,0.18,0.43,0.22
 Ieper ,33011,nee,Actief bewegen,2020,0.12,0.15,0.52,0.2
 Ingelmunster ,36007,nee,Actief bewegen,2020,0.14,0.24,0.43,0.19
 Izegem ,36008,nee,Actief bewegen,2020,0.15,0.2,0.42,0.24
 Jabbeke ,31012,nee,Actief bewegen,2020,0.14,0.17,0.46,0.23
 Kalmthout ,11022,nee,Actief bewegen,2020,0.11,0.16,0.44,0.29
 Kampenhout ,23038,nee,Actief bewegen,2020,0.12,0.22,0.5,0.16
 Kapellen ,11023,nee,Actief bewegen,2020,0.11,0.17,0.47,0.26
 Kapelle-Op-Den-Bos ,23039,nee,Actief bewegen,2020,0.15,0.18,0.45,0.22
 Kaprijke ,43007,nee,Actief bewegen,2020,0.1,0.23,0.47,0.21
 Kasterlee ,13017,nee,Actief bewegen,2020,0.08,0.19,0.5,0.23
 Keerbergen ,24048,nee,Actief bewegen,2020,0.13,0.16,0.5,0.21
 Kinrooi ,72018,nee,Actief bewegen,2020,0.09,0.15,0.5,0.26
 Kluisbergen ,45060,nee,Actief bewegen,2020,0.13,0.24,0.48,0.15
