Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Ontevreden (%),Neutraal (%),Tevreden (%)
 Grobbendonk ,13010,nee,Tevredenheid over kinderopvang,2020,0.17,0.3,0.53
 Haacht ,24033,nee,Tevredenheid over kinderopvang,2017,0.11,0.28,0.6
 Haacht ,24033,nee,Tevredenheid over kinderopvang,2020,0.05,0.26,0.69
 Haaltert ,41024,nee,Tevredenheid over kinderopvang,2017,0.14,0.23,0.63
 Haaltert ,41024,nee,Tevredenheid over kinderopvang,2020,0.1,0.31,0.59
 Halen ,71020,nee,Tevredenheid over kinderopvang,2017,0.07,0.16,0.77
 Halen ,71020,nee,Tevredenheid over kinderopvang,2020,0.07,0.2,0.73
 Halle ,23027,nee,Tevredenheid over kinderopvang,2017,0.3,0.29,0.42
 Halle ,23027,nee,Tevredenheid over kinderopvang,2020,0.24,0.39,0.37
 Ham ,71069,nee,Tevredenheid over kinderopvang,2017,0.12,0.22,0.66
 Ham ,71069,nee,Tevredenheid over kinderopvang,2020,0.05,0.16,0.79
 Hamme ,42008,nee,Tevredenheid over kinderopvang,2017,0.1,0.21,0.69
 Hamme ,42008,nee,Tevredenheid over kinderopvang,2020,0.06,0.28,0.66
 Hamont-Achel ,72037,nee,Tevredenheid over kinderopvang,2017,0.07,0.21,0.72
 Hamont-Achel ,72037,nee,Tevredenheid over kinderopvang,2020,0.05,0.2,0.75
 Harelbeke ,34013,nee,Tevredenheid over kinderopvang,2017,0.06,0.2,0.74
 Harelbeke ,34013,nee,Tevredenheid over kinderopvang,2020,0.09,0.28,0.63
 Hasselt ,71022,ja,Tevredenheid over kinderopvang,2011,0.11,0.16,0.74
 Hasselt ,71022,ja,Tevredenheid over kinderopvang,2014,0.11,0.23,0.66
 Hasselt ,71022,ja,Tevredenheid over kinderopvang,2017,0.12,0.17,0.71
 Hasselt ,71022,ja,Tevredenheid over kinderopvang,2020,0.08,0.23,0.68
 Hechtel-Eksel,72038,nee,Tevredenheid over kinderopvang,2017,0.03,0.17,0.8
 Hechtel-Eksel,72038,nee,Tevredenheid over kinderopvang,2020,0.09,0.24,0.67
 Heers ,73022,nee,Tevredenheid over kinderopvang,2017,0.09,0.18,0.73
 Heers ,73022,nee,Tevredenheid over kinderopvang,2020,0.04,0.2,0.76
 Heist-Op-Den-Berg ,12014,nee,Tevredenheid over kinderopvang,2017,0.02,0.22,0.76
 Heist-Op-Den-Berg ,12014,nee,Tevredenheid over kinderopvang,2020,0.07,0.17,0.76
